keys,en,ru
ITEM_WELDED_DOME_DESC,Wide welded helmet with strong lower-cell scaling.,Широкий сварной шлем, получающий значительные бонусы от клеток снизу.
ITEM_NEURAL_HELM_NAME,Neural Helm,Нейрошлем
ITEM_NEURAL_HELM_DESC,High-end helmet with superior passive scaling.,Продвинутый шлем с превосходным скейлингом.
ITEM_GREAVES_FRAME_NAME,Greaves Frame,Фрейм-поножи
ITEM_GREAVES_FRAME_DESC,Passive leg frame gaining defense from structure above.,Фрейм для ног, усиливается за счёт клеток над ним.
ITEM_TRACKED_FOOTING_NAME,Tracked Footing,Гусеничная опора
ITEM_TRACKED_FOOTING_DESC,Stabilized leg assembly that rewards upper support.,Стабилизированная опора ног, получает бонусы от клеток сверху.
ITEM_HYDRAULIC_BRACE_NAME,Hydraulic Brace,Гидравлический упор
ITEM_HYDRAULIC_BRACE_DESC,Tall hydraulic brace with powerful passive scaling.,Высокий гидравлический упор с мощным пассивным бонусом.
ITEM_BIO_GEL_NAME,Bio Gel,Био-гель
ITEM_BIO_GEL_DESC,Heals 8 HP. Produced from flesh. You don't want to know what flesh.,Восстанавливает 8 ОЗ. Произведен из плоти. Лучше не знать, из чьей именно.
ITEM_SALT_INJECTOR_NAME,Salt Injector,Солевой инжектор
ITEM_SALT_INJECTOR_DESC,Instantly restores 1 AP for the current turn.,Мгновенно восстанавливает 1 ОД на текущий ход.
ITEM_NEURO_STIMULATOR_NAME,Neuro-Stimulator,Нейро-стимулятор
ITEM_NEURO_STIMULATOR_DESC,"Temporarily accelerates reaction and neural links. Grants +2 AP in combat or +4d6 to a dialog check.","Временно ускоряет реакцию и нейронные связи. Даёт +2 AP в бою или +4d6 к диалоговой проверке."
ITEM_SYNAPSE_BOOSTER_NAME,Synapse Booster,Синапс-бустер
ITEM_SYNAPSE_BOOSTER_DESC,"Experimental top-tier stimulant. Grants +4 AP in combat or guarantees 100% success on a dialog check.","Экспериментальный стимулятор высшей категории. Даёт +4 AP в бою или полностью гарантирует 100% успех диалоговой проверки."
ITEM_THERMITE_NAME,Thermite Charge,Термитный заряд
ITEM_THERMITE_DESC,Deals 9-10 damage to selected enemy and applies 3 Burn.,Наносит 9-10 урона выбранному врагу и накладывает 3 Горения.
ITEM_MOLOTOV_NAME,Molotov Cocktail,Коктейль Молотова
ITEM_MOLOTOV_DESC,"Simple but effective. Deals 4 AOE damage and applies 2 Burn to all enemies.","Простое, но эффективное средство. Наносит 4 урона по площади и поджигает всех врагов на 2 хода."
ITEM_PURGE_SOLVENT_NAME,Purge Solvent,Очищающий раствор
ITEM_PURGE_SOLVENT_DESC,Cleanses all negative status effects (Poison, Rust, Burn).,Снимает все негативные эффекты (Яд, Ржавчина, Горение).
TRAIT_ARMOR_EDGE_NAME,Edge Anchor,Краевой якорь
TRAIT_ARMOR_EDGE_DESC,Edge-mounted armor gains extra stability.,Краевая броня получает дополнительную устойчивость.
TRAIT_ARMOR_CHAIN_NAME,Armor Chain,Броня-цепь
TRAIT_ARMOR_CHAIN_DESC,Adjacent armor pieces reinforce each other.,Соседство с другими предметами брони даёт бонус к броне.
TRAIT_SPIKES_OUTER_NAME,Outer Spikes,Внешние шипы
TRAIT_SPIKES_OUTER_DESC,Spikes punish hostile pressure around the frame.,Шипы наносят урон атакующим врагам.
TRAIT_HEAT_DISSIPATION_NAME,Heat Dissipation,Теплоотвод
TRAIT_HEAT_DISSIPATION_DESC,Cooling channels increase defensive performance.,Охлаждающие каналы повышают защитный потенциал.
TRAIT_REACTIVE_CLEANSE_NAME,Reactive Cleanse,Реактивная очистка
TRAIT_REACTIVE_CLEANSE_DESC,Reactive weave dampens lingering corruption stress.,Реактивная ткань гасит остаточный эффект искажения.
TRAIT_ARMOR_CORE_TRIGGER_NAME,Core Trigger,Триггер ядра
TRAIT_ARMOR_CORE_TRIGGER_DESC,Activating this core triggers adjacent usable armor for free.,Активация ядра бесплатно активирует соседние активируемые элементы брони.
TRAIT_HELMET_LOW_NAME,Lower Profile Helmet,Скрытный шлем
TRAIT_HELMET_LOW_DESC,Passive armor scales with cells below (+0.5 each).,Бонус к броне за каждую клетку снизу (+0.5).
TRAIT_HELMET_HIGH_NAME,Lower Profile Helmet+,Нижний профиль шлема+
TRAIT_HELMET_HIGH_DESC,Passive armor scales with cells below (+1 each).,Бонус к броне за каждую клетку снизу (+1).
TRAIT_LEG_LOW_NAME,Upper Support Greaves,Поножи верхней опоры
TRAIT_LEG_LOW_DESC,Passive armor scales with cells above (+0.5 each).,Бонус к броне за каждую клетку сверху (+0.5).
TRAIT_LEG_HIGH_NAME,Upper Support Greaves+,Поножи верхней опоры+
TRAIT_LEG_HIGH_DESC,Passive armor scales with cells above (+1 each).,Бонус к броне за каждую клетку сверху (+1).
TRAIT_HELMET_ROW_PENALTY_NAME,Crowded Helmet Row,Скученный ряд шлемов
TRAIT_HELMET_ROW_PENALTY_DESC,"-1 passive armor for each other helmet to the right in the same row.","-1 к пассивной броне за каждый другой шлем справа в том же ряду."
TRAIT_LEG_ROW_PENALTY_NAME,Crowded Greaves Row,Скученный ряд поножей
TRAIT_LEG_ROW_PENALTY_DESC,"-1 passive armor for each other leg armor to the right in the same row.","-1 к пассивной броне за каждую другую броню ног справа в том же ряду."
TRAIT_BIO_GEL_HEAL_NAME,Bio Gel Patch,Био-гелевая заплатка
TRAIT_BIO_GEL_HEAL_DESC,Restore frame HP when consumed.,Восстанавливает ОЗ каркаса при применении.
TRAIT_GIVE_AP_NAME,Adrenal Salt,Адреналиновая соль
TRAIT_GIVE_AP_DESC,Gain AP immediately on use.,Мгновенно дает дополнительные ОД.
TRAIT_APPLY_BURN_NAME,Incendiary Splash,Зажигательный всплеск
TRAIT_APPLY_BURN_DESC,"Applies 2 Burn to all hit enemies.","Накладывает 2 Горения на всех поражённых врагов."
TRAIT_NEURO_STIM_NAME,Neuro Surge,Нейро-импульс
TRAIT_NEURO_STIM_DESC,"+2 AP in combat or +4d6 on a dialog check.","+2 ОД в бою или +4d6 к диалоговой проверке."
TRAIT_SYNAPSE_BOOSTER_NAME,Synapse Override,Синаптический пробой
TRAIT_SYNAPSE_BOOSTER_DESC,"+4 AP in combat or guarantees a dialog check.","+4 ОД в бою или гарантирует успех диалоговой проверки."
TRAIT_BURN_DAMAGE_NAME,Thermite Burn,Термитный прожиг
TRAIT_BURN_DAMAGE_DESC,Adds burn damage to target hit.,Добавляет прожигающий урон по цели.
TRAIT_CLEANSE_DEBUFFS_NAME,Purge Cycle,Цикл очистки
TRAIT_CLEANSE_DEBUFFS_DESC,Cleanses active corruption pressure on use.,Снимает активное искажение при применении.
ITEM_SCRAP_PIPE_NAME,Scrap Pipe,Обломок трубы
ITEM_SCRAP_PIPE_DESC,Bent conduit swung as a club. Edge-mounted. Simple; reliable blunt trauma.,Согнутая труба как дубина. Должна лежать на краю инвентаря. Простое и надёжное дробящее оружие.
ITEM_REBEL_CLEAVER_NAME,Rebel Cleaver,Тесак повстанца
ITEM_REBEL_CLEAVER_DESC,A scavenged meat cleaver. Bleeds foes; but goes dull beside biomorphic grafts.,Трофейный тесак. Вызывает кровотечение; но теряет эффективность рядом с биоморфными имплантами.
ITEM_JACKHAMMER_NAME,Pneumatic Jackhammer,Пневматический отбойник
ITEM_JACKHAMMER_DESC,Industrial breaker arm. Costs 2 AP. Stuns the enemy on impact — never harms your own grid.,Промышленный отбойный рычаг. Стоит 2 ОД. Оглушает врага при ударе — свою сетку не трогает.
ITEM_BIO_CLAW_NAME,Biomorphic Claw,Биоморфный коготь
ITEM_BIO_CLAW_DESC,Living talon that can graft inside the frame. Resonates with nearby biomorphic modules.,Живой коготь; можно встроить внутрь каркаса. Резонирует с соседними биоморфными модулями.
ITEM_NAIL_GUN_NAME,Nail Gun,Гвоздомёт
ITEM_NAIL_GUN_DESC,Compressed nail driver. Edge-mounted ranged weapon with limited ammo bursts.,Пневматический гвоздомёт. Дальнобойное оружие с ограниченным боезапасом; должно располагаться на краю инвентаря.
ITEM_ARC_DISCHARGER_NAME,Arc Discharger,Дуговой разрядник
ITEM_ARC_DISCHARGER_DESC,Coiled contacts that arc harder when a reactor shares an edge.,Скрученные провода. Бьют сильнее; если касаются реактора.
ITEM_SURGICAL_SAW_NAME,Surgical Saw,Хирургическая пила
ITEM_SURGICAL_SAW_DESC,Precision bone saw. Compact 1x1 edge tool that pierces Block.,Точная костная пила. Компактный инструмент 1x1; должен располагаться на краю инвентаря; пробивает Блок.
ITEM_FLAMETHROWER_NAME,Flamethrower,Огнемёт
ITEM_FLAMETHROWER_DESC,"Burns everything ahead. Deals INT-scaling damage to all enemies and applies 2 Burn. Cooldown: 1 turn.","Выжигает всё перед собой. Наносит урон всем врагам (скалируется от INT) и поджигает их на 2 хода. Кулдаун: 1 ход."
ITEM_REBAR_CUDGEL_NAME,Rebar Cudgel,Кусок арматуры
ITEM_REBAR_CUDGEL_DESC,Heavy rebar length. Stronger when given room — no adjacent weapons.,Тяжёлая арматура. Бьет сильнее; когда не касается другого оружия.
ITEM_CYBER_SPIKE_NAME,Cyber Spike,Кибершип
ITEM_CYBER_SPIKE_DESC,Needle implant that siphons vitality from the target into your Frame HP.,Игольчатый имплант; тянет жизненную силу с цели в ОЗ фрейма.
KEY_STATUS_CHEST,Salvage chest cracked open.,Контейнер взломан.
KEY_STATUS_SHOP,Shop stub — nothing for sale yet.,Магазин-заглушка — пока нечего купить.
KEY_STATUS_STAIRS,Stairs to the next sector.,Лестница в следующий сектор.
KEY_STAT_CHECK_SUCCESS,Check passed.,Проверка пройдена.
KEY_STAT_CHECK_FAILURE,Check failed.,Проверка провалена.
KEY_STAT_CHECK_GUARANTEED,[100% GUARANTEED SUCCESS],[100% ГАРАНТИРОВАННЫЙ УСПЕХ]
KEY_STAT_CHECK_USE_NEURO,Use Neuro-Stimulator (+4d6),Использовать нейро-стимулятор (+4d6)
KEY_STAT_CHECK_USE_SYNAPSE,Use Synapse Booster (100% success),Использовать синапс-бустер (100% успех)
KEY_STAT_CHECK_ROLL,Roll check,Бросить проверку
KEY_STAT_CHECK_CANCEL,Cancel,Отмена
KEY_STAT_CHECK_PREPARE,Prepare check (%s),Подготовка проверки (%s)
EVENT_OLD_MACHINE_GOD_TITLE,The Old Machine God,Старый Бог-Машина
EVENT_OLD_MACHINE_GOD_BODY,"In the scrap dark, a half-buried frame still hums. Its optic flickers — not dead, not awake. Something waits for a command.","В мусорной тьме всё ещё гудит полузасыпанный каркас. Оптика мигает — не мёртв, не пробуждён. Кто-то ждёт команды."
EVENT_OLD_MACHINE_GOD_CHOICE_COMMUNE,Commune with the machine (INT),Установить связь с машиной (ИНТ)
EVENT_OLD_MACHINE_GOD_CHOICE_SALVAGE,Salvage what still works,"Снять всё, что ещё работает"
EVENT_OLD_MACHINE_GOD_CHOICE_FORCE,Force the core online,Принудительно запустить ядро
EVENT_OLD_MACHINE_GOD_CHOICE_LEAVE,Leave it buried,Оставить погребённым
EVENT_OLD_MACHINE_GOD_COMMUNE_OK,The optic steadies. Warmth bleeds into your frame (+8 HP).,Оптика стабилизируется. Тепло втекает в каркас (+8 ОЗ).
EVENT_OLD_MACHINE_GOD_COMMUNE_FAIL,Feedback spikes through your grafts (-4 HP).,Обратная связь бьёт по прививкам (-4 ОЗ).
EVENT_OLD_MACHINE_GOD_SALVAGE_OK,You pry free a sealed Bio Gel.,Ты выдираешь целый Bio Gel.
EVENT_OLD_MACHINE_GOD_FORCE_COMBAT,The core shrieks awake — a corrupted synthet unfolds.,Ядро взвизгивает — раскрывается искажённый синтет.
EVENT_OLD_MACHINE_GOD_LEAVE,You mark the wreck and move on.,Ты помечаешь обломок и идёшь дальше.
EVENT_SLEEPER_GOD_TITLE,Sleeper God,Спящий Бог
EVENT_MOL_VAGRIT_TITLE,Mol-Vagrit — Eater of Legions,Мол-Вагрит — Пожиратель Легионов
EVENT_PALE_MAIDEN_TITLE,Pale Maiden,Бледная дева
EVENT_WHITE_FOG_TITLE,White Fog,Белый туман
EVENT_RAIM_GREAT_ASCENT_TITLE,The Great Ascent,Великий подъём
EVENT_RAIM_HOLLOW_WINDOWS_TITLE,Hollow Windows,Пустые окна
ITEM_EYE_OF_PALE_MAIDEN_NAME,Eye of the Pale Maiden,Глаз Бледной девы
ITEM_EYE_OF_PALE_MAIDEN_DESC,"+1 AP on combat turn 1. If adjacent to any weapon, -1 AP instead.","+1 ОД в первый ход боя. Если рядом с оружием — вместо этого -1 ОД."
ITEM_FANG_OF_THE_FORGOTTEN_NAME,Fang of the Forgotten,Клык Забытой
ITEM_FANG_OF_THE_FORGOTTEN_DESC,"Deals 4-5 damage and applies 3 Poison. Once per turn.","Наносит 4-5 урона и накладывает 3 Яда. Раз в ход."
TRAIT_EYE_OF_PALE_MAIDEN_NAME,Pale Eye,Бледный глаз
TRAIT_EYE_OF_PALE_MAIDEN_DESC,"+1 AP on turn 1, or -1 AP if next to a weapon.","+1 ОД в ход 1, или -1 ОД рядом с оружием."
TRAIT_FANG_POISON_NAME,Forgotten Venom,Яд Забытой
TRAIT_FANG_POISON_DESC,On hit applies 3 Poison.,При ударе накладывает 3 Яда.
ENEMY_FACELESS_LADY_NAME,Faceless Lady,Безликая дама
ENEMY_FACELESS_LADY_DESC,"A stalker bound to the Pale Maiden's pact. Debuffs and bleeds the frame.","Сталкер, связанный с договором Бледной девы. Дебаффит каркас."
ABILITY_FACELESS_TEETH_NAME,Tooth Clicking,Постукивание зубов
ABILITY_FACELESS_TEETH_DESC,Applies Panic (-50% defense) and Bleed (3).,Накладывает Панику (-50% защиты) и Кровотечение (3).
ABILITY_FACELESS_TEETH_TEXT,{name} clicks her teeth in an impossible rhythm.,{name} отбивает зубами невозможный ритм.
ABILITY_FACELESS_GRIP_NAME,Dead Grip,Мёртвый хват
ABILITY_FACELESS_GRIP_DESC,Moderate damage and halves healing received.,Умеренный урон и снижает эффективность лечения.
ABILITY_FACELESS_GRIP_TEXT,{name} clamps down with a dead grip.,{name} стискивает мёртвым хватом.
ITEM_SLIMY_PARASITE_NAME,Slimy Parasite,Склизкий паразит
ITEM_SLIMY_PARASITE_DESC,"Deals 3 HP at the start of each turn and caps usable AP to 3. Spend 1 AP to cut it out.","Наносит 3 HP в начале хода и ограничивает ОД до 3. Потратьте 1 ОД, чтобы вырезать его."
ITEM_BROKEN_SLOT_NAME,Broken Slot,Сломанный слот
ITEM_BROKEN_SLOT_DESC,Spend 1 AP to clear this ruined body-grid mass.,Потратьте 1 ОД, чтобы очистить это разрушенное место на сетке.
KEY_FORCED_INSERT_BANNER,"An entity has penetrated your frame! You must place the parasite into your body grid.","Сущность проникла в ваш каркас! Вы должны поместить паразита в сетку тела."
KEY_FORCED_INSERT_MUST_PLACE,Place the harmful item into your Body Grid first!,Сначала поместите вредоносный предмет в сетку тела!
KEY_LOG_PARASITE_DAMAGE,Slimy Parasite drains %d HP.,Склизкий паразит высасывает %d HP.
KEY_LOG_HARMFUL_SURGERY,You cut out %s.,Вы вырезаете: %s.
KEY_LOG_PARASITE_INJECT,%s forces a parasite into your frame!,%s вживляет паразита в ваш каркас!
KEY_LOG_PARASITE_ALREADY,%s finds a parasite already lodged in the frame.,%s обнаруживает, что паразит уже сидит в каркасе.
ABILITY_FACELESS_INJECT_NAME,Parasite Injection,Инъекция паразита
ABILITY_FACELESS_INJECT_DESC,Forces a Slimy Parasite into the Body Grid.,Вживляет Склизкого паразита в сетку тела.
ABILITY_FACELESS_INJECT_TEXT,{name} opens a wet seam in the frame.,{name} разрывает влажный шов в каркасе.
KEY_ACT1_ANNOUNCE_TITLE,Chapter 1,Глава 1
KEY_ACT1_ANNOUNCE_SUBTITLE,"Ruins of Ra'im, City of Humans","Развалины Ра'има, города людей"
